ID,Sensor,Priority,Status
0,,0,False
1,ARDUINO_DHT,1,True
2,ARDUINO_DHT,1,True
3,ARDUINO_DHT,1,True
4,ARDUINO_DHT,1,True
5,ARDUINO_DHT,1,True
6,ARDUINO_DHT,1,True
7,ARDUINO_DHT,1,True
8,ARDUINO_DHT,1,True
9,ARDUINO_DHT,1,True
10,ARDUINO_DHT,1,True
11,ARDUINO_DHT,1,True
12,ARDUINO_DHT,1,True
13,ARDUINO_DHT,1,True
14,ARDUINO_DHT,1,True
15,ARDUINO_DHT,1,True
16,ARDUINO_DHT,1,True
17,ARDUINO_DHT,1,True
18,ARDUINO_DHT,1,True
19,ARDUINO_DHT,1,True
20,ARDUINO_DHT,1,True
21,ARDUINO_DHT,1,True
22,ARDUINO_DHT,1,True
23,ARDUINO_DHT,1,True
24,ARDUINO_DHT,1,True
25,ARDUINO_DHT,1,True
26,ARDUINO_DHT,1,True
27,ARDUINO_DHT,1,True
28,ARDUINO_DHT,1,True
29,ARDUINO_DHT,1,True
30,ARDUINO_DHT,1,True
31,ARDUINO_DHT,1,True
32,ARDUINO_DHT,1,True
33,ARDUINO_DHT,1,True
34,ARDUINO_DHT,1,True
35,ARDUINO_DHT,1,True
36,ARDUINO_DHT,1,True
37,ARDUINO_DHT,1,True
38,ARDUINO_DHT,1,True
39,ARDUINO_DHT,1,True
40,ARDUINO_DHT,1,True
41,ARDUINO_DHT,1,True
42,ARDUINO_DHT,1,True
43,ARDUINO_DHT,1,True
44,ARDUINO_DHT,1,True
45,ARDUINO_DHT,1,True
46,ARDUINO_DHT,1,True
47,ARDUINO_DHT,1,True
48,ARDUINO_DHT,1,True
49,ARDUINO_DHT,1,True
50,ARDUINO_DHT,1,True
51,ARDUINO_DHT,1,True
52,ARDUINO_DHT,1,True
53,ARDUINO_DHT,1,True
54,ARDUINO_DHT,1,True
55,ARDUINO_DHT,1,True
56,ARDUINO_DHT,1,True
57,ARDUINO_DHT,1,True
58,ARDUINO_DHT,1,True
59,ARDUINO_DHT,1,True
60,ARDUINO_DHT,1,True
61,ARDUINO_DHT,1,True
62,ARDUINO_DHT,1,True
63,ARDUINO_DHT,1,True
64,ARDUINO_DHT,1,True
65,ARDUINO_DHT,1,True
66,ARDUINO_DHT,1,True
67,ARDUINO_DHT,1,True
68,ARDUINO_DHT,1,True
69,ARDUINO_DHT,1,True
70,ARDUINO_DHT,1,True
71,ARDUINO_DHT,1,True
72,ARDUINO_DHT,1,True
73,ARDUINO_DHT,1,True
74,ARDUINO_DHT,1,True
75,ARDUINO_DHT,1,True
76,ARDUINO_DHT,1,True
77,ARDUINO_DHT,1,True
78,ARDUINO_DHT,1,True
79,ARDUINO_DHT,1,True
80,ARDUINO_DHT,1,True
81,ARDUINO_DHT,1,True
82,ARDUINO_DHT,1,True
83,ARDUINO_DHT,1,True
84,ARDUINO_DHT,1,True
85,ARDUINO_DHT,1,True
86,ARDUINO_DHT,1,True
87,ESP32_PIR,2,True
88,ARDUINO_DHT,1,True
89,ARDUINO_DHT,1,True
90,ARDUINO_DHT,1,True
91,ARDUINO_DHT,1,True
92,ARDUINO_DHT,1,True
93,ARDUINO_DHT,1,True
94,ARDUINO_DHT,1,True
95,ARDUINO_DHT,1,True
96,ARDUINO_DHT,1,True
97,ARDUINO_DHT,1,True
98,ARDUINO_DHT,1,True
99,ARDUINO_DHT,1,True
100,ARDUINO_DHT,1,True
101,ARDUINO_DHT,1,True
102,ARDUINO_DHT,1,True
103,ARDUINO_DHT,1,True
104,ARDUINO_DHT,1,True
105,ARDUINO_DHT,1,True
106,ARDUINO_DHT,1,True
107,ARDUINO_DHT,1,True
108,ARDUINO_DHT,1,True
109,ARDUINO_DHT,1,True
110,ARDUINO_DHT,1,True
111,ARDUINO_DHT,1,True
112,ARDUINO_DHT,1,True
113,ARDUINO_DHT,1,True
114,ARDUINO_DHT,1,True
115,ARDUINO_DHT,1,True
116,ARDUINO_DHT,1,True
117,ARDUINO_DHT,1,True
118,ARDUINO_DHT,1,True
119,ARDUINO_DHT,1,True
120,ARDUINO_DHT,1,True
121,ARDUINO_DHT,1,True
122,ARDUINO_DHT,1,True
123,ARDUINO_DHT,1,True
124,ARDUINO_DHT,1,True
125,ARDUINO_DHT,1,True
126,ARDUINO_DHT,1,True
127,ARDUINO_DHT,1,True
128,ARDUINO_DHT,1,True
129,ARDUINO_DHT,1,True
130,ARDUINO_DHT,1,True
131,ARDUINO_DHT,1,True
132,ARDUINO_DHT,1,True
133,ARDUINO_DHT,1,True
134,ARDUINO_DHT,1,True
135,ARDUINO_DHT,1,True
136,ARDUINO_DHT,1,True
137,ARDUINO_DHT,1,True
138,ARDUINO_DHT,1,True
139,ARDUINO_DHT,1,True
140,ARDUINO_DHT,1,True
141,ARDUINO_DHT,1,True
142,ARDUINO_DHT,1,True
143,ARDUINO_DHT,1,True
144,ARDUINO_DHT,1,True
145,ARDUINO_DHT,1,True
146,ARDUINO_DHT,1,True
147,ARDUINO_DHT,1,True
